Pos,Player,Tm,Year,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
QB,Cam Newton,CAR,2015,4,16,16,296,495,3837,35,10,132,636,10,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
QB,Carson Palmer,ARI,2015,11,16,16,342,537,4671,35,11,25,24,1,0,0,0,0,0,0,"PFF: 1st Tm, AP: 2nd Tm"
QB,Tom Brady,NWE,2015,15,16,16,402,624,4770,36,7,34,53,3,1,36,0,0,0,0,"PFW: 1st Tm All-Conf., PFF: 2nd Tm"
RB,Doug Martin,TAM,2015,3,16,16,0,0,0,0,0,288,1402,6,33,271,1,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
RB,Adrian Peterson,MIN,2015,8,16,16,0,0,0,0,0,327,1485,11,30,222,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
RB,Chris Ivory,NYJ,2015,5,15,14,0,0,0,0,0,247,1070,7,30,217,1,0,0,0,PFW: 1st Tm All-Conf.
RB,Latavius Murray,OAK,2015,2,16,16,0,0,0,0,0,266,1066,6,41,232,0,0,0,0,PFW: 1st Tm All-Conf.
RB,Devonta Freeman,ATL,2015,1,15,13,0,0,0,0,0,265,1056,11,73,578,3,0,0,0,AP: 2nd Tm
RB,Todd Gurley,STL,2015,Rook,13,12,0,0,0,0,0,229,1106,10,21,188,0,0,0,0,AP: 2nd Tm
RB,Jonathan Stewart,CAR,2015,7,13,13,0,0,0,0,0,242,989,6,16,99,1,0,0,0,PFF: 2nd Tm
FB,Patrick DiMarco,ATL,2015,3,16,8,0,0,0,0,0,1,0,0,13,110,2,4,0,0,"PFF: 1st Tm, AP: 2nd Tm"
FB,Mike Tolbert,CAR,2015,7,16,3,0,0,0,0,0,62,256,1,18,154,3,1,0,0,AP: 1st Tm
WR,Antonio Brown,PIT,2015,5,16,16,0,0,0,0,0,3,28,0,136,1834,10,1,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
WR,Julio Jones,ATL,2015,4,16,16,0,0,0,0,0,0,0,0,136,1871,8,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
WR,Larry Fitzgerald,ARI,2015,11,16,16,0,0,0,0,0,0,0,0,109,1215,9,0,0,0,PFF: 1st Tm
WR,DeAndre Hopkins,HOU,2015,2,16,16,0,0,0,0,0,0,0,0,111,1521,11,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
WR,Odell Beckham Jr.,NYG,2015,1,15,15,0,0,0,0,0,1,3,0,96,1450,13,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
WR,Doug Baldwin,SEA,2015,4,16,16,0,0,0,0,0,0,0,0,78,1069,14,0,0,0,PFF: 2nd Tm
WR,A.J. Green,CIN,2015,4,16,16,0,0,0,0,0,0,0,0,86,1297,10,0,0,0,PFF: 2nd Tm
WR,Brandon Marshall,NYJ,2015,9,16,16,0,0,0,0,0,0,0,0,109,1502,14,0,0,0,AP: 2nd Tm
TE,Rob Gronkowski,NWE,2015,5,15,15,0,0,0,0,0,0,0,0,72,1176,11,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
TE,Greg Olsen,CAR,2015,8,16,16,0,0,0,0,0,0,0,0,77,1104,7,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
TE,Delanie Walker,TEN,2015,9,15,10,0,0,0,0,0,1,36,0,94,1088,6,0,0,0,PFF: 2nd Tm
T,Joe Thomas,CLE,2015,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
T,Tyron Smith,DAL,2015,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
T,Andrew Whitworth,CIN,2015,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm"
T,Trent Williams,WAS,2015,5,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
LG,Richie Incognito,BUF,2015,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFF: 1st Tm
G,Marshal Yanda,BAL,2015,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
G,Zack Martin,DAL,2015,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
G,David DeCastro,PIT,2015,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm"
G,Josh Sitton,GNB,2015,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
G,Mike Iupati,ARI,2015,5,13,13,0,0,0,0,0,0,0,0,1,10,0,0,0,0,AP: 2nd Tm
C,Ryan Kalil,CAR,2015,8,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
C,Travis Frederick,DAL,2015,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AP: 2nd Tm, PFF: 1st Tm"
C,Rodney Hudson,OAK,2015,4,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFW: 1st Tm All-Conf.
C,Alex Mack,CLE,2015,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFW: 1st Tm All-Conf.
C,Joe Berger,MIN,2015,10,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFF: 2nd Tm
RT,Ryan Schraeder,ATL,2015,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFF: 1st Tm
RT,Mitchell Schwartz,CLE,2015,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PFF: 2nd Tm
DE,Khalil Mack,OAK,2015,1,16,16,0,0,0,0,0,0,0,0,0,0,0,57,15,0,"PFW: 1st Tm All-Conf., PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
DE,J.J. Watt,HOU,2015,4,16,16,0,0,0,0,0,0,0,0,0,0,0,57,17.5,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
DE,Olivier Vernon,MIA,2015,3,16,16,0,0,0,0,0,0,0,0,0,0,0,41,7.5,0,PFF: 1st Tm
DE,Ezekiel Ansah,DET,2015,2,16,16,0,0,0,0,0,0,0,0,0,0,0,39,14.5,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
DE,Michael Bennett,JAX,2015,Rook,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5,0,PFW: 1st Tm All-Conf.
DE,Cameron Jordan,NOR,2015,4,16,16,0,0,0,0,0,0,0,0,0,0,0,32,10,0,PFF: 2nd Tm
DE,Muhammad Wilkerson,NYJ,2015,4,16,15,0,0,0,0,0,0,0,0,0,0,0,39,12,0,AP: 2nd Tm
DT,Aaron Donald,STL,2015,1,16,16,0,0,0,0,0,0,0,0,0,0,0,44,11,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
DT,Geno Atkins,CIN,2015,5,16,16,0,0,0,0,0,0,0,0,0,0,0,31,11,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
DT,Kawann Short,CAR,2015,2,16,16,0,0,0,0,0,0,0,0,0,0,0,36,11,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
DT,Ndamukong Suh,MIA,2015,5,16,16,0,0,0,0,0,0,0,0,0,0,0,39,6,0,"PFW: 1st Tm All-Conf., PFF: 2nd Tm"
DT,Fletcher Cox,PHI,2015,3,16,16,0,0,0,0,0,0,0,0,0,0,0,50,9.5,0,AP: 2nd Tm
NT,Linval Joseph,MIN,2015,5,12,12,0,0,0,0,0,0,0,0,0,0,0,42,0.5,0,PFF: 1st Tm
NT,Damon Harrison,NYJ,2015,3,16,16,0,0,0,0,0,0,0,0,0,0,0,39,0.5,0,PFF: 2nd Tm
OLB,Von Miller,DEN,2015,4,16,16,0,0,0,0,0,0,0,0,0,0,0,30,11,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
OLB,Thomas Davis,CAR,2015,10,16,16,0,0,0,0,0,0,0,0,0,0,0,75,5.5,4,"PFW: 1st Tm All-Conf., AP: 1st Tm"
OLB,Justin Houston,KAN,2015,4,11,11,0,0,0,0,0,0,0,0,0,0,0,25,7.5,2,SN: 1st Tm
OLB,Lavonte David,TAM,2015,3,16,16,0,0,0,0,0,0,0,0,0,0,0,85,3,3,PFW: 1st Tm All-Conf.
OLB,Jamie Collins,NWE,2015,2,12,12,0,0,0,0,0,0,0,0,0,0,0,51,5.5,1,AP: 2nd Tm
ILB,NaVorro Bowman,SFO,2015,5,16,16,0,0,0,0,0,0,0,0,0,0,0,116,2.5,0,AP: 1st Tm
ILB,Bobby Wagner,SEA,2015,3,15,15,0,0,0,0,0,0,0,0,0,0,0,67,0.5,0,AP: 2nd Tm
MLB,Luke Kuechly,CAR,2015,3,13,13,0,0,0,0,0,0,0,0,0,0,0,76,1,4,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
MLB,Derrick Johnson,KAN,2015,10,16,16,0,0,0,0,0,0,0,0,0,0,0,95,4,2,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
LB,Anthony Barr,MIN,2015,1,14,14,0,0,0,0,0,0,0,0,0,0,0,54,3.5,1,PFF: 1st Tm
LB,K.J. Wright,SEA,2015,4,16,16,0,0,0,0,0,0,0,0,0,0,0,71,1,0,PFF: 2nd Tm
CB,Patrick Peterson,ARI,2015,4,16,16,0,0,0,0,0,0,0,0,0,0,0,35,0,2,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
CB,Josh Norman,CAR,2015,3,16,16,0,0,0,0,0,0,0,0,0,0,0,48,0,4,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
CB,Richard Sherman,SEA,2015,4,16,16,0,0,0,0,0,0,0,0,0,0,0,33,0,2,"AP: 2nd Tm, PFF: 1st Tm"
CB,Chris Harris Jr.,DEN,2015,4,16,16,0,0,0,0,0,0,0,0,0,0,0,49,0,2,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
