Team,% salary cap to highest paid player,% salary cap to players on rookie contracts,Regular Season wins
15 CIN,9.7,18.22,12
15 DEN ,11.66,15.03,12
15 ARI,9.96,17.3,13
15 MIA,7.01,17.37,6
15 JAX,6.11,26.22,5
15 DET,14.24,18.28,7
15 GNB,12.05,14.47,10
15 BAL,6.37,16.93,5
15 NOR,16.4,14.45,7
15 PIT,11.97,15.43,10
15 HOU,9.57,17.36,9
16 SFO,9.49,17.59,2
16 CHI,7.13,16.92,3
16 BUF,8.06,16.66,7
16 CLE,7.58,18.2,1
16 NYJ,11.46,10.78,8
16 ATL,14.96,15.19,11
16 NYJ,10.79,17,5
16 LAR,8.96,23.06,4
16 SEA,12,9.94,10.5
16 TEN,4.99,20.87,9
16 MIN,7.65,21.26,8
17 TAM,7.97,17.64,5
17 ARI,9.22,13.97,8
17 LAC,10.61,19.06,9
17 DAL,10.06,19.26,9
17 NYG,11.75,18.82,3
17 DET,9.8,19.83,9
17 CAR,11.21,13.23,11
17 NWE,8.36,13.55,13
18 CIN,8,24.7,6
18 KAN,11.46,15.6,12
18 PHI,7.65,17.28,9
18 ATL,9.93,22.71,7
18 GNB,11.54,15.53,7.5
18 MIN,12.57,16.04,8.5
19 CHI,9.24,17.41,8
19 BUF,6.46,16.26,10
19 DEN,12.89,18.76,7
19 CLE,6.94,23.34,6
19 TAM,10.73,22.18,7
19 ARI,7.66,18.53,5.5
19 DAL,7.74,15.63,8
19 MIA,4.23,18.96,5
19 PHI,5.98,13.73,9
19 ATL,8.33,23.08,7
19 JAX,7.94,20.03,6
19 NYJ,4.69,20.16,7
19 DET,8.19,16.33,3.5
19 SEA,13.36,15.42,11
19 PIT,7.2,19.95,8
20 SFO,6.77,22.87,6
20 CHI,12.52,16.17,8
20 CIN,8.72,22.08,4.5
20 KAN,8.74,10.97,14
20 NYG,8.17,28.46,6
20 CAR,6.69,18.04,5
20 NWE,7.02,15.98,7
20 BAL,8.49,16.27,11
20 NOR,11.94,15.54,12
20 TEN,10.21,16.98,11
